,amp_mean,average rdsym,oscillating_amp,oscillating_amp_time,period,ptsym_time,rdsym_time,sample,sample_lastE,sample_nextE,sample_zeroxD,sample_zeroxR,subject,trough_sharp,trough_time,trough_volt,whole_decay_time,whole_rise_time,whole_rise_volt
167,926.7275224349174,2.41025641025641,False,False,68,13,-46,26539,26528,26596,26532,26567,bp,173.375,35,-34.0,11,57,3299.0
168,426.8773236926062,2.41025641025641,False,False,67,-2,17,26638,26596,26663,26615,26641,bp,192.5289855072464,26,494.0,42,25,2482.0
169,279.19682084511777,2.41025641025641,False,False,34,-11,12,26686,26663,26697,26665,26695,bp,29.67460317460317,30,1945.0,23,11,514.0
170,1160.0129233597545,2.41025641025641,False,False,66,13,10,26735,26697,26763,26714,26743,bp,126.93154761904762,29,-233.0,38,28,3343.0
171,876.5164341667595,2.41025641025641,True,True,81,-21,5,26806,26763,26844,26785,26828,bp,60.01839826839827,43,-480.0,43,38,3220.0
172,728.4086420945413,2.41025641025641,True,False,69,-25,21,26889,26844,26913,26850,26895,bp,101.54487179487178,45,-1138.0,45,24,2013.0
173,417.6058401496154,2.41025641025641,True,False,35,-2,-15,26923,26913,26948,26915,26935,bp,60.16666666666667,20,-157.0,10,25,1849.0
174,631.8403008200041,2.41025641025641,False,False,49,1,-33,26956,26948,26997,26953,26979,bp,155.20289855072463,26,391.0,8,41,3060.0
175,914.0442928526696,2.41025641025641,False,False,40,4,12,27023,26997,27037,27006,27025,bp,75.42647058823529,19,241.0,26,14,413.0
176,267.3824709972871,2.41025641025641,True,False,27,9,9,27055,27037,27064,27048,27060,bp,100.81428571428572,12,-128.0,18,9,1389.0
177,217.94897409605738,2.41025641025641,True,False,50,-22,22,27100,27064,27114,27081,27111,bp,41.51913875598086,30,26.0,36,14,1324.0
178,1074.6263169170709,2.41025641025641,True,False,34,3,8,27135,27114,27148,27119,27142,bp,142.51339285714286,23,-516.0,21,13,3142.0
179,582.0425569358081,2.41025641025641,True,False,101,-32,15,27206,27148,27249,27168,27232,bp,67.18218623481782,64,-850.0,58,43,3129.0
180,930.8483132976904,2.41025641025641,True,False,47,6,-1,27272,27249,27296,27264,27282,bp,173.1125,18,-1080.0,23,24,2023.0
181,867.1671370626707,2.41025641025641,True,True,49,-2,3,27322,27296,27345,27306,27332,bp,95.4375,26,-868.0,26,23,3128.0
182,741.4198254744426,2.41025641025641,True,False,36,5,20,27373,27345,27381,27356,27376,bp,170.50980392156862,20,-735.0,28,8,2300.0
183,317.22950928973273,2.41025641025641,True,False,65,18,-15,27406,27381,27446,27401,27418,bp,150.61666666666667,17,-102.0,25,40,3159.0
184,4251.380246441407,-3.4285714285714284,True,True,71,25,-13,30440,30411,30482,30428,30451,bp,369.49242424242425,23,-4192.0,29,42,7652.0
185,1420.041628280344,-3.4285714285714284,True,True,80,7,-24,30510,30482,30562,30499,30544,bp,135.09893048128342,45,-785.0,28,52,4495.0
